                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.56126,                0.46079,                0.99737,                0.97926,                0.94533,                0.98339,                0.85088,                0.55565,                0.38834,                0.89758,               0.001189,               0.001189,               0.001189
                     92,                0.54667,                0.44636,                0.99127,                0.98057,                0.94537,                0.98383,                 0.8523,                0.55321,                0.38439,                0.89612,                0.00109,                0.00109,                0.00109
                     93,                0.53599,                0.43405,                0.98362,                0.98138,                0.94495,                0.98361,                0.85324,                0.55095,                0.37984,                0.89453,               0.000991,               0.000991,               0.000991
                     94,                0.52897,                0.42978,                0.98012,                0.98181,                0.94508,                0.98411,                0.85446,                0.54868,                0.37297,                0.89288,               0.000892,               0.000892,               0.000892
                     95,                0.52019,                0.42318,                0.97528,                0.98194,                0.94502,                0.98411,                0.85524,                0.54614,                0.36784,                0.89111,               0.000793,               0.000793,               0.000793
                     96,                0.51537,                 0.4163,                0.97222,                0.98259,                0.94437,                0.98417,                0.85658,                0.54356,                0.36231,                0.88933,               0.000694,               0.000694,               0.000694
                     97,                    inf,                0.41056,                0.96836,                0.98214,                0.94463,                0.98428,                0.85775,                0.54092,                0.35637,                0.88747,               0.000595,               0.000595,               0.000595
                     98,                0.50073,                0.40438,                0.96399,                0.98104,                0.94622,                0.98446,                0.85874,                0.53816,                0.34982,                0.88556,               0.000496,               0.000496,               0.000496
                     99,                0.49554,                0.39916,                0.96159,                0.98099,                0.94693,                0.98464,                0.85988,                0.53553,                0.34461,                0.88372,               0.000397,               0.000397,               0.000397
                    100,                0.48729,                0.39266,                0.95726,                0.98048,                0.94768,                0.98484,                0.86125,                0.53281,                0.34001,                0.88179,               0.000298,               0.000298,               0.000298
